Date : 2023-01-23 15:51:56
Directory : c:\Users\Flynn\AppData\Roaming\.minecraft\saves\Hexenwerk Test World\datapacks\Hexenwerk-Datapack
Total : 156 files,  1890 codes, 20 comments, 242 blanks, all 2152 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| data\hexenwerk\functions\blocks\magical_crafting_table (Files)                                                                                                                                        |          3 |         20 |          0 |          7 |         27 |
| data\hexenwerk\functions\blocks\magical_crafting_table\gui                                                                                                                                            |          6 |        139 |          0 |         19 |        158 |
| data\hexenwerk\functions\blocks\magical_crafting_table\gui (Files)                                                                                                                                    |          1 |          3 |          0 |          3 |          6 |
| data\hexenwerk\functions\blocks\magical_crafting_table\gui\check_extra                                                                                                                                |          2 |        128 |          0 |         12 |        140 |
| data\hexenwerk\functions\blocks\magical_crafting_table\gui\mask                                                                                                                                       |          3 |          8 |          0 |          4 |         12 |
| data\hexenwerk\functions\blocks\magical_crafting_table\magical                                                                                                                                        |          1 |          0 |          0 |          1 |          1 |
| data\hexenwerk\functions\blocks\magical_crafting_table\switch_mode                                                                                                                                    |          4 |         92 |          0 |         12 |        104 |
| data\hexenwerk\functions\blocks\magical_crafting_table\switch_mode (Files)                                                                                                                            |          2 |         10 |          0 |          4 |         14 |
| data\hexenwerk\functions\blocks\magical_crafting_table\switch_mode\remove_items                                                                                                                       |          2 |         82 |          0 |          8 |         90 |
| data\hexenwerk\functions\blocks\magical_crafting_table\wand                                                                                                                                           |         17 |         99 |          0 |         15 |        114 |
| data\hexenwerk\functions\blocks\magical_crafting_table\wand (Files)                                                                                                                                   |          2 |          8 |          0 |          2 |         10 |
| data\hexenwerk\functions\blocks\magical_crafting_table\wand\apply                                                                                                                                     |          7 |         42 |          0 |          8 |         50 |
| data\hexenwerk\functions\blocks\magical_crafting_table\wand\apply (Files)                                                                                                                             |          4 |         24 |          0 |          5 |         29 |
| data\hexenwerk\functions\blocks\magical_crafting_table\wand\apply\remove                                                                                                                              |          3 |         18 |          0 |          3 |         21 |
| data\hexenwerk\functions\blocks\magical_crafting_table\wand\load_books                                                                                                                                |          8 |         49 |          0 |          5 |         54 |
| data\hexenwerk\functions\blocks\magical_crafting_table\wand\load_books (Files)                                                                                                                        |          4 |         28 |          0 |          4 |         32 |
| data\hexenwerk\functions\blocks\magical_crafting_table\wand\load_books\kick_items                                                                                                                     |          4 |         21 |          0 |          1 |         22 |
| data\hexenwerk\functions\blocks\magical_flower                                                                                                                                                        |          2 |         10 |          0 |          2 |         12 |
| data\hexenwerk\functions\craft                                                                                                                                                                        |          3 |         27 |          0 |          2 |         29 |
| data\hexenwerk\functions\dev                                                                                                                                                                          |          6 |         33 |          0 |          1 |         34 |
| data\hexenwerk\functions\dev\dev_stone                                                                                                                                                                |          6 |         33 |          0 |          1 |         34 |
| data\hexenwerk\functions\dev\dev_stone (Files)                                                                                                                                                        |          1 |          4 |          0 |          0 |          4 |
| data\hexenwerk\functions\dev\dev_stone\swap_spell                                                                                                                                                     |          2 |         14 |          0 |          0 |         14 |
| data\hexenwerk\functions\dev\dev_stone\switch                                                                                                                                                         |          3 |         15 |          0 |          1 |         16 |
| data\hexenwerk\functions\mana                                                                                                                                                                         |          6 |         62 |          0 |          6 |         68 |
| data\hexenwerk\functions\spell_events                                                                                                                                                                 |          9 |         58 |          0 |         21 |         79 |
| data\hexenwerk\functions\spell_events (Files)                                                                                                                                                         |          1 |          5 |          0 |          1 |          6 |
| data\hexenwerk\functions\spell_events\end                                                                                                                                                             |          2 |         32 |          0 |         12 |         44 |
| data\hexenwerk\functions\spell_events\start                                                                                                                                                           |          3 |          4 |          0 |          2 |          6 |
| data\hexenwerk\functions\spell_events\while                                                                                                                                                           |          3 |         17 |          0 |          6 |         23 |
| data\hexenwerk\functions\utility                                                                                                                                                                      |          2 |         10 |          0 |          4 |         14 |
| data\hexenwerk\functions\wand                                                                                                                                                                         |         33 |        215 |          7 |         85 |        307 |
| data\hexenwerk\functions\wand (Files)                                                                                                                                                                 |          4 |         27 |          0 |         11 |         38 |
| data\hexenwerk\functions\wand\slot_1                                                                                                                                                                  |          2 |         20 |          2 |         11 |         33 |
| data\hexenwerk\functions\wand\slot_2                                                                                                                                                                  |          2 |         20 |          2 |          9 |         31 |
| data\hexenwerk\functions\wand\slot_3                                                                                                                                                                  |          2 |         20 |          2 |          8 |         30 |
| data\hexenwerk\functions\wand\spells                                                                                                                                                                  |         23 |        128 |          1 |         46 |        175 |
| data\hexenwerk\functions\wand\spells (Files)                                                                                                                                                          |          1 |          6 |          0 |          2 |          8 |
| data\hexenwerk\functions\wand\spells\no_raycast                                                                                                                                                       |          5 |         27 |          0 |         13 |         40 |
| data\hexenwerk\functions\wand\spells\no_raycast (Files)                                                                                                                                               |          1 |         14 |          0 |          4 |         18 |
| data\hexenwerk\functions\wand\spells\no_raycast\spells_effect                                                                                                                                         |          4 |         13 |          0 |          9 |         22 |
| data\hexenwerk\functions\wand\spells\raycast                                                                                                                                                          |         17 |         95 |          1 |         31 |        127 |
| data\hexenwerk\functions\wand\spells\raycast (Files)                                                                                                                                                  |          4 |         43 |          1 |         15 |         59 |
| data\hexenwerk\functions\wand\spells\raycast\spells_impact                                                                                                                                            |         13 |         52 |          0 |         16 |         68 |
| data\hexenwerk\functions\wand\spells\raycast\spells_impact (Files)                                                                                                                                    |          1 |          3 |          0 |          1 |          4 |
| data\hexenwerk\functions\wand\spells\raycast\spells_impact\block                                                                                                                                      |          6 |         24 |          0 |          5 |         29 |
| data\hexenwerk\functions\wand\spells\raycast\spells_impact\entity                                                                                                                                     |          6 |         25 |          0 |         10 |         35 |
| data\hexenwerk\item_modifiers                                                                                                                                                                         |          7 |         52 |          0 |          7 |         59 |
| data\hexenwerk\item_modifiers\dev_stone                                                                                                                                                               |          4 |         34 |          0 |          4 |         38 |
| data\hexenwerk\item_modifiers\swap_wand_slot                                                                                                                                                          |          3 |         18 |          0 |          3 |         21 |
| data\hexenwerk\loot_tables                                                                                                                                                                            |         18 |        347 |          0 |         15 |        362 |
| data\hexenwerk\loot_tables\blocks                                                                                                                                                                     |          3 |         60 |          0 |          3 |         63 |
| data\hexenwerk\loot_tables\items                                                                                                                                                                      |         15 |        287 |          0 |         12 |        299 |
| data\hexenwerk\loot_tables\items (Files)                                                                                                                                                              |          4 |         78 |          0 |          4 |         82 |
| data\hexenwerk\loot_tables\items\spell_books                                                                                                                                                          |         11 |        209 |          0 |          8 |        217 |
| data\hexenwerk\predicates                                                                                                                                                                             |         14 |        123 |          0 |         14 |        137 |
| data\hexenwerk\recipes                                                                                                                                                                                |          3 |         57 |          0 |          6 |         63 |
| data\hexenwerk\tags                                                                                                                                                                                   |          3 |        228 |          0 |          1 |        229 |
| data\hexenwerk\tags\blocks                                                                                                                                                                            |          1 |        110 |          0 |          0 |        110 |
| data\hexenwerk\tags\entity_types                                                                                                                                                                      |          2 |        118 |          0 |          1 |        119 |
| data\minecraft                                                                                                                                                                                        |          2 |          6 |          0 |          0 |          6 |
| data\minecraft\tags                                                                                                                                                                                   |          2 |          6 |          0 |          0 |          6 |
| data\minecraft\tags\functions                                                                                                                                                                         |          2 |          6 |          0 |          0 |          6 |
+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                                                                                                              | language   | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\Users\Flynn\AppData\Roaming\.minecraft\saves\Hexenwerk Test World\datapacks\Hexenwerk-Datapack\README.md                                                                                           | Markdown   |          1 |          0 |          1 |          2 |
| c:\Users\Flynn\AppData\Roaming\.minecraft\saves\Hexenwerk Test World\datapacks\Hexenwerk-Datapack\data\hexenwerk\advancements\craft\magical_crafting_table.json                                       | JSON       |         14 |          0 |          1 |         15 |
| c:\Users\Flynn\AppData\Roaming\.minecraft\saves\Hexenwerk Test World\datapacks\Hexenwerk-Datapack\data\hexenwerk\advancements\craft\magical_crystal.json                                              | JSON       |         14 |          0 |          1 |         15 |
| c:\Users\Flynn\AppData\Roaming\.minecraft\saves\Hexenwerk Test World\datapacks\Hexenwerk-Datapack\data\hexenwerk\advancements\craft\wand.json                                                         | JSON       |         14 |          0 |          1 |         15 |
| c:\Users\Flynn\AppData\Roaming\.minecraft\saves\Hexenwerk Test World\datapacks\Hexenwerk-Datapack\data\hexenwerk\advancements\crystal.json                                                            | JSON       |         34 |          0 |          0 |         34 |
| c:\Users\Flynn\AppData\Roaming\.minecraft\saves\Hexenwerk Test World\datapacks\Hexenwerk-Datapack\data\hexenwerk\advancements\magical_crafting_table.json                                             | JSON       |         34 |          0 |          0 |         34 |
| c:\Users\Flynn\AppData\Roaming\.minecraft\saves\Hexenwerk Test World\datapacks\Hexenwerk-Datapack\data\hexenwerk\advancements\root.json                                                               | JSON       |         26 |          0 |          0 |         26 |
| c:\Users\Flynn\AppData\Roaming\.minecraft\saves\Hexenwerk Test World\datapacks\Hexenwerk-Datapack\data\hexenwerk\advancements\shard.json                                                              | JSON       |         34 |          0 |          0 |         34 |
| c:\Users\Flynn\AppData\Roaming\.minecraft\saves\Hexenwerk Test World\datapacks\Hexenwerk-Datapack\data\hexenwerk\advancements\spell.json                                                              | JSON       |         26 |          0 |          0 |         26 |
| c:\Users\Flynn\AppData\Roaming\.minecraft\saves\Hexenwerk Test World\datapacks\Hexenwerk-Datapack\data\hexenwerk\advancements\wand.json                                                               | JSON       |         34 |          0 |          0 |         34 |
| c:\Users\Flynn\AppData\Roaming\.minecraft\saves\Hexenwerk Test World\datapacks\Hexenwerk-Datapack\data\hexenwerk\functions\blocks\magical_crafting_table\destroy.mcfunction                           | mcfunction |          6 |          0 |          0 |          6 |
| c:\Users\Flynn\AppData\Roaming\.minecraft\saves\Hexenwerk Test World\datapacks\Hexenwerk-Datapack\data\hexenwerk\functions\blocks\magical_crafting_table\gui\check_extra\magical.mcfunction           | mcfunction |         55 |          0 |          6 |         61 |
| c:\Users\Flynn\AppData\Roaming\.minecraft\saves\Hexenwerk Test World\datapacks\Hexenwerk-Datapack\data\hexenwerk\functions\blocks\magical_crafting_table\gui\check_extra\wand.mcfunction              | mcfunction |         73 |          0 |          6 |         79 |
| c:\Users\Flynn\AppData\Roaming\.minecraft\saves\Hexenwerk Test World\datapacks\Hexenwerk-Datapack\data\hexenwerk\functions\blocks\magical_crafting_table\gui\fix_items.mcfunction                     | mcfunction |          3 |          0 |          3 |          6 |
| c:\Users\Flynn\AppData\Roaming\.minecraft\saves\Hexenwerk Test World\datapacks\Hexenwerk-Datapack\data\hexenwerk\functions\blocks\magical_crafting_table\gui\mask\magical.mcfunction                  | mcfunction |          3 |          0 |          2 |          5 |
| c:\Users\Flynn\AppData\Roaming\.minecraft\saves\Hexenwerk Test World\datapacks\Hexenwerk-Datapack\data\hexenwerk\functions\blocks\magical_crafting_table\gui\mask\main.mcfunction                     | mcfunction |          2 |          0 |          0 |          2 |
| c:\Users\Flynn\AppData\Roaming\.minecraft\saves\Hexenwerk Test World\datapacks\Hexenwerk-Datapack\data\hexenwerk\functions\blocks\magical_crafting_table\gui\mask\wand.mcfunction                     | mcfunction |          3 |          0 |          2 |          5 |
| c:\Users\Flynn\AppData\Roaming\.minecraft\saves\Hexenwerk Test World\datapacks\Hexenwerk-Datapack\data\hexenwerk\functions\blocks\magical_crafting_table\magical\main.mcfunction                      | mcfunction |          0 |          0 |          1 |          1 |
| c:\Users\Flynn\AppData\Roaming\.minecraft\saves\Hexenwerk Test World\datapacks\Hexenwerk-Datapack\data\hexenwerk\functions\blocks\magical_crafting_table\main.mcfunction                              | mcfunction |          4 |          0 |          3 |          7 |
| c:\Users\Flynn\AppData\Roaming\.minecraft\saves\Hexenwerk Test World\datapacks\Hexenwerk-Datapack\data\hexenwerk\functions\blocks\magical_crafting_table\place.mcfunction                             | mcfunction |         10 |          0 |          4 |         14 |
| c:\Users\Flynn\AppData\Roaming\.minecraft\saves\Hexenwerk Test World\datapacks\Hexenwerk-Datapack\data\hexenwerk\functions\blocks\magical_crafting_table\switch_mode\crafting.mcfunction              | mcfunction |          5 |          0 |          2 |          7 |
| c:\Users\Flynn\AppData\Roaming\.minecraft\saves\Hexenwerk Test World\datapacks\Hexenwerk-Datapack\data\hexenwerk\functions\blocks\magical_crafting_table\switch_mode\remove_items\crafting.mcfunction | mcfunction |         29 |          0 |          6 |         35 |
| c:\Users\Flynn\AppData\Roaming\.minecraft\saves\Hexenwerk Test World\datapacks\Hexenwerk-Datapack\data\hexenwerk\functions\blocks\magical_crafting_table\switch_mode\remove_items\magical.mcfunction  | mcfunction |         53 |          0 |          2 |         55 |
| c:\Users\Flynn\AppData\Roaming\.minecraft\saves\Hexenwerk Test World\datapacks\Hexenwerk-Datapack\data\hexenwerk\functions\blocks\magical_crafting_table\switch_mode\wand.mcfunction                  | mcfunction |          5 |          0 |          2 |          7 |
| c:\Users\Flynn\AppData\Roaming\.minecraft\saves\Hexenwerk Test World\datapacks\Hexenwerk-Datapack\data\hexenwerk\functions\blocks\magical_crafting_table\wand\apply\first.mcfunction                  | mcfunction |          6 |          0 |          1 |          7 |
| c:\Users\Flynn\AppData\Roaming\.minecraft\saves\Hexenwerk Test World\datapacks\Hexenwerk-Datapack\data\hexenwerk\functions\blocks\magical_crafting_table\wand\apply\main.mcfunction                   | mcfunction |          6 |          0 |          2 |          8 |
| c:\Users\Flynn\AppData\Roaming\.minecraft\saves\Hexenwerk Test World\datapacks\Hexenwerk-Datapack\data\hexenwerk\functions\blocks\magical_crafting_table\wand\apply\remove\first.mcfunction           | mcfunction |          6 |          0 |          1 |          7 |
| c:\Users\Flynn\AppData\Roaming\.minecraft\saves\Hexenwerk Test World\datapacks\Hexenwerk-Datapack\data\hexenwerk\functions\blocks\magical_crafting_table\wand\apply\remove\second.mcfunction          | mcfunction |          6 |          0 |          1 |          7 |
| c:\Users\Flynn\AppData\Roaming\.minecraft\saves\Hexenwerk Test World\datapacks\Hexenwerk-Datapack\data\hexenwerk\functions\blocks\magical_crafting_table\wand\apply\remove\third.mcfunction           | mcfunction |          6 |          0 |          1 |          7 |
| c:\Users\Flynn\AppData\Roaming\.minecraft\saves\Hexenwerk Test World\datapacks\Hexenwerk-Datapack\data\hexenwerk\functions\blocks\magical_crafting_table\wand\apply\second.mcfunction                 | mcfunction |          6 |          0 |          1 |          7 |
| c:\Users\Flynn\AppData\Roaming\.minecraft\saves\Hexenwerk Test World\datapacks\Hexenwerk-Datapack\data\hexenwerk\functions\blocks\magical_crafting_table\wand\apply\third.mcfunction                  | mcfunction |          6 |          0 |          1 |          7 |
| c:\Users\Flynn\AppData\Roaming\.minecraft\saves\Hexenwerk Test World\datapacks\Hexenwerk-Datapack\data\hexenwerk\functions\blocks\magical_crafting_table\wand\load_books\first.mcfunction             | mcfunction |          7 |          0 |          1 |          8 |
| c:\Users\Flynn\AppData\Roaming\.minecraft\saves\Hexenwerk Test World\datapacks\Hexenwerk-Datapack\data\hexenwerk\functions\blocks\magical_crafting_table\wand\load_books\kick_items\first.mcfunction  | mcfunction |          6 |          0 |          0 |          6 |
| c:\Users\Flynn\AppData\Roaming\.minecraft\saves\Hexenwerk Test World\datapacks\Hexenwerk-Datapack\data\hexenwerk\functions\blocks\magical_crafting_table\wand\load_books\kick_items\main.mcfunction   | mcfunction |          3 |          0 |          0 |          3 |
| c:\Users\Flynn\AppData\Roaming\.minecraft\saves\Hexenwerk Test World\datapacks\Hexenwerk-Datapack\data\hexenwerk\functions\blocks\magical_crafting_table\wand\load_books\kick_items\second.mcfunction | mcfunction |          6 |          0 |          0 |          6 |
| c:\Users\Flynn\AppData\Roaming\.minecraft\saves\Hexenwerk Test World\datapacks\Hexenwerk-Datapack\data\hexenwerk\functions\blocks\magical_crafting_table\wand\load_books\kick_items\third.mcfunction  | mcfunction |          6 |          0 |          1 |          7 |
| c:\Users\Flynn\AppData\Roaming\.minecraft\saves\Hexenwerk Test World\datapacks\Hexenwerk-Datapack\data\hexenwerk\functions\blocks\magical_crafting_table\wand\load_books\main.mcfunction              | mcfunction |          7 |          0 |          1 |          8 |
| c:\Users\Flynn\AppData\Roaming\.minecraft\saves\Hexenwerk Test World\datapacks\Hexenwerk-Datapack\data\hexenwerk\functions\blocks\magical_crafting_table\wand\load_books\second.mcfunction            | mcfunction |          7 |          0 |          1 |          8 |
| c:\Users\Flynn\AppData\Roaming\.minecraft\saves\Hexenwerk Test World\datapacks\Hexenwerk-Datapack\data\hexenwerk\functions\blocks\magical_crafting_table\wand\load_books\third.mcfunction             | mcfunction |          7 |          0 |          1 |          8 |
| c:\Users\Flynn\AppData\Roaming\.minecraft\saves\Hexenwerk Test World\datapacks\Hexenwerk-Datapack\data\hexenwerk\functions\blocks\magical_crafting_table\wand\main.mcfunction                         | mcfunction |          5 |          0 |          2 |          7 |
| c:\Users\Flynn\AppData\Roaming\.minecraft\saves\Hexenwerk Test World\datapacks\Hexenwerk-Datapack\data\hexenwerk\functions\blocks\magical_crafting_table\wand\remove_wand.mcfunction                  | mcfunction |          3 |          0 |          0 |          3 |
| c:\Users\Flynn\AppData\Roaming\.minecraft\saves\Hexenwerk Test World\datapacks\Hexenwerk-Datapack\data\hexenwerk\functions\blocks\magical_flower\destroy.mcfunction                                   | mcfunction |          4 |          0 |          0 |          4 |
| c:\Users\Flynn\AppData\Roaming\.minecraft\saves\Hexenwerk Test World\datapacks\Hexenwerk-Datapack\data\hexenwerk\functions\blocks\magical_flower\place.mcfunction                                     | mcfunction |          6 |          0 |          2 |          8 |
| c:\Users\Flynn\AppData\Roaming\.minecraft\saves\Hexenwerk Test World\datapacks\Hexenwerk-Datapack\data\hexenwerk\functions\blocks\main.mcfunction                                                     | mcfunction |          4 |          0 |          1 |          5 |
| c:\Users\Flynn\AppData\Roaming\.minecraft\saves\Hexenwerk Test World\datapacks\Hexenwerk-Datapack\data\hexenwerk\functions\blocks\main_place.mcfunction                                               | mcfunction |          3 |          0 |          2 |          5 |
| c:\Users\Flynn\AppData\Roaming\.minecraft\saves\Hexenwerk Test World\datapacks\Hexenwerk-Datapack\data\hexenwerk\functions\config.mcfunction                                                          | mcfunction |          2 |          3 |          2 |          7 |
| c:\Users\Flynn\AppData\Roaming\.minecraft\saves\Hexenwerk Test World\datapacks\Hexenwerk-Datapack\data\hexenwerk\functions\craft\magical_crafting_table.mcfunction                                    | mcfunction |          9 |          0 |          0 |          9 |
| c:\Users\Flynn\AppData\Roaming\.minecraft\saves\Hexenwerk Test World\datapacks\Hexenwerk-Datapack\data\hexenwerk\functions\craft\magical_crystal.mcfunction                                           | mcfunction |          9 |          0 |          1 |         10 |
| c:\Users\Flynn\AppData\Roaming\.minecraft\saves\Hexenwerk Test World\datapacks\Hexenwerk-Datapack\data\hexenwerk\functions\craft\wand.mcfunction                                                      | mcfunction |          9 |          0 |          1 |         10 |
| c:\Users\Flynn\AppData\Roaming\.minecraft\saves\Hexenwerk Test World\datapacks\Hexenwerk-Datapack\data\hexenwerk\functions\dev\dev_stone\swap_spell\down.mcfunction                                   | mcfunction |          7 |          0 |          0 |          7 |
| c:\Users\Flynn\AppData\Roaming\.minecraft\saves\Hexenwerk Test World\datapacks\Hexenwerk-Datapack\data\hexenwerk\functions\dev\dev_stone\swap_spell\up.mcfunction                                     | mcfunction |          7 |          0 |          0 |          7 |
| c:\Users\Flynn\AppData\Roaming\.minecraft\saves\Hexenwerk Test World\datapacks\Hexenwerk-Datapack\data\hexenwerk\functions\dev\dev_stone\switch\debug.mcfunction                                      | mcfunction |          4 |          0 |          0 |          4 |
| c:\Users\Flynn\AppData\Roaming\.minecraft\saves\Hexenwerk Test World\datapacks\Hexenwerk-Datapack\data\hexenwerk\functions\dev\dev_stone\switch\dev.mcfunction                                        | mcfunction |          6 |          0 |          0 |          6 |
| c:\Users\Flynn\AppData\Roaming\.minecraft\saves\Hexenwerk Test World\datapacks\Hexenwerk-Datapack\data\hexenwerk\functions\dev\dev_stone\switch\disabled.mcfunction                                   | mcfunction |          5 |          0 |          1 |          6 |
| c:\Users\Flynn\AppData\Roaming\.minecraft\saves\Hexenwerk Test World\datapacks\Hexenwerk-Datapack\data\hexenwerk\functions\dev\dev_stone\toggle.mcfunction                                            | mcfunction |          4 |          0 |          0 |          4 |
| c:\Users\Flynn\AppData\Roaming\.minecraft\saves\Hexenwerk Test World\datapacks\Hexenwerk-Datapack\data\hexenwerk\functions\load.mcfunction                                                            | mcfunction |         24 |          4 |          6 |         34 |
| c:\Users\Flynn\AppData\Roaming\.minecraft\saves\Hexenwerk Test World\datapacks\Hexenwerk-Datapack\data\hexenwerk\functions\main.mcfunction                                                            | mcfunction |         22 |          6 |          5 |         33 |
| c:\Users\Flynn\AppData\Roaming\.minecraft\saves\Hexenwerk Test World\datapacks\Hexenwerk-Datapack\data\hexenwerk\functions\mana\display.mcfunction                                                    | mcfunction |         24 |          0 |          1 |         25 |
| c:\Users\Flynn\AppData\Roaming\.minecraft\saves\Hexenwerk Test World\datapacks\Hexenwerk-Datapack\data\hexenwerk\functions\mana\display_water.mcfunction                                              | mcfunction |         24 |          0 |          1 |         25 |
| c:\Users\Flynn\AppData\Roaming\.minecraft\saves\Hexenwerk Test World\datapacks\Hexenwerk-Datapack\data\hexenwerk\functions\mana\on_death.mcfunction                                                   | mcfunction |          3 |          0 |          1 |          4 |
| c:\Users\Flynn\AppData\Roaming\.minecraft\saves\Hexenwerk Test World\datapacks\Hexenwerk-Datapack\data\hexenwerk\functions\mana\regen.mcfunction                                                      | mcfunction |          7 |          0 |          1 |          8 |
| c:\Users\Flynn\AppData\Roaming\.minecraft\saves\Hexenwerk Test World\datapacks\Hexenwerk-Datapack\data\hexenwerk\functions\mana\regen_of_flower.mcfunction                                            | mcfunction |          2 |          0 |          1 |          3 |
| c:\Users\Flynn\AppData\Roaming\.minecraft\saves\Hexenwerk Test World\datapacks\Hexenwerk-Datapack\data\hexenwerk\functions\mana\run_regen.mcfunction                                                  | mcfunction |          2 |          0 |          1 |          3 |
| c:\Users\Flynn\AppData\Roaming\.minecraft\saves\Hexenwerk Test World\datapacks\Hexenwerk-Datapack\data\hexenwerk\functions\spell_events\end\circulum_sanitatem.mcfunction                             | mcfunction |          6 |          0 |          0 |          6 |
| c:\Users\Flynn\AppData\Roaming\.minecraft\saves\Hexenwerk Test World\datapacks\Hexenwerk-Datapack\data\hexenwerk\functions\spell_events\end\ignis_temptates.mcfunction                                | mcfunction |         26 |          0 |         12 |         38 |
| c:\Users\Flynn\AppData\Roaming\.minecraft\saves\Hexenwerk Test World\datapacks\Hexenwerk-Datapack\data\hexenwerk\functions\spell_events\main.mcfunction                                               | mcfunction |          5 |          0 |          1 |          6 |
| c:\Users\Flynn\AppData\Roaming\.minecraft\saves\Hexenwerk Test World\datapacks\Hexenwerk-Datapack\data\hexenwerk\functions\spell_events\start\circulum_sanitatem.mcfunction                           | mcfunction |          0 |          0 |          1 |          1 |
| c:\Users\Flynn\AppData\Roaming\.minecraft\saves\Hexenwerk Test World\datapacks\Hexenwerk-Datapack\data\hexenwerk\functions\spell_events\start\ignis_temptates.mcfunction                              | mcfunction |          1 |          0 |          0 |          1 |
| c:\Users\Flynn\AppData\Roaming\.minecraft\saves\Hexenwerk Test World\datapacks\Hexenwerk-Datapack\data\hexenwerk\functions\spell_events\start\main.mcfunction                                         | mcfunction |          3 |          0 |          1 |          4 |
| c:\Users\Flynn\AppData\Roaming\.minecraft\saves\Hexenwerk Test World\datapacks\Hexenwerk-Datapack\data\hexenwerk\functions\spell_events\while\circulum_sanitatem.mcfunction                           | mcfunction |          6 |          0 |          3 |          9 |
| c:\Users\Flynn\AppData\Roaming\.minecraft\saves\Hexenwerk Test World\datapacks\Hexenwerk-Datapack\data\hexenwerk\functions\spell_events\while\ignis_temptates.mcfunction                              | mcfunction |          9 |          0 |          2 |         11 |
| c:\Users\Flynn\AppData\Roaming\.minecraft\saves\Hexenwerk Test World\datapacks\Hexenwerk-Datapack\data\hexenwerk\functions\spell_events\while\main.mcfunction                                         | mcfunction |          2 |          0 |          1 |          3 |
| c:\Users\Flynn\AppData\Roaming\.minecraft\saves\Hexenwerk Test World\datapacks\Hexenwerk-Datapack\data\hexenwerk\functions\uninstall.mcfunction                                                       | mcfunction |         20 |          0 |          4 |         24 |
| c:\Users\Flynn\AppData\Roaming\.minecraft\saves\Hexenwerk Test World\datapacks\Hexenwerk-Datapack\data\hexenwerk\functions\utility\drop_from_mainhand.mcfunction                                      | mcfunction |          5 |          0 |          2 |          7 |
| c:\Users\Flynn\AppData\Roaming\.minecraft\saves\Hexenwerk Test World\datapacks\Hexenwerk-Datapack\data\hexenwerk\functions\utility\drop_from_offhand.mcfunction                                       | mcfunction |          5 |          0 |          2 |          7 |
| c:\Users\Flynn\AppData\Roaming\.minecraft\saves\Hexenwerk Test World\datapacks\Hexenwerk-Datapack\data\hexenwerk\functions\wand\main.mcfunction                                                       | mcfunction |          6 |          0 |          2 |          8 |
| c:\Users\Flynn\AppData\Roaming\.minecraft\saves\Hexenwerk Test World\datapacks\Hexenwerk-Datapack\data\hexenwerk\functions\wand\slot_1\main.mcfunction                                                | mcfunction |         10 |          2 |          6 |         18 |
| c:\Users\Flynn\AppData\Roaming\.minecraft\saves\Hexenwerk Test World\datapacks\Hexenwerk-Datapack\data\hexenwerk\functions\wand\slot_1\swapto.mcfunction                                              | mcfunction |         10 |          0 |          5 |         15 |
